######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
################################
Initializing geometry package...
################################
Initializing geometry package...
################################
Initializing MPI and solver...
################################
Initializing MPI and solver...
################################
Initializing domain...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
################################
Initializing domain...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
Solving:
Solving:
Time step 4500, Step size=0.0000009ms, Time elapsed=0.000004s;
Time step 4500, Step size=0.0000033ms, Time elapsed=0.000015s;
Time step 4600, Step size=0.0000009ms, Time elapsed=0.000004s;
Time step 4600, Step size=0.0000033ms, Time elapsed=0.000015s;
Time step 4700, Step size=0.0000009ms, Time elapsed=0.000004s;
Time step 4700, Step size=0.0000033ms, Time elapsed=0.000016s;
Time step 4800, Step size=0.0000009ms, Time elapsed=0.000004s;
Time step 4800, Step size=0.0000033ms, Time elapsed=0.000016s;
Time step 4900, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 4900, Step size=0.0000033ms, Time elapsed=0.000016s;
Time step 5000, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5000, Step size=0.0000033ms, Time elapsed=0.000017s;
Time step 5100, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5100, Step size=0.0000033ms, Time elapsed=0.000017s;
Time step 5200, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5200, Step size=0.0000033ms, Time elapsed=0.000017s;
Time step 5300, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5300, Step size=0.0000033ms, Time elapsed=0.000018s;
Time step 5400, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5400, Step size=0.0000033ms, Time elapsed=0.000018s;
Time step 5500, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5500, Step size=0.0000033ms, Time elapsed=0.000018s;
Time step 5600, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5600, Step size=0.0000033ms, Time elapsed=0.000019s;
Time step 5700, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5700, Step size=0.0000033ms, Time elapsed=0.000019s;
Time step 5800, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5800, Step size=0.0000033ms, Time elapsed=0.000019s;
Time step 5900, Step size=0.0000009ms, Time elapsed=0.000005s;
Time step 5900, Step size=0.0000033ms, Time elapsed=0.000020s;
Time step 6000, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6000, Step size=0.0000033ms, Time elapsed=0.000020s;
Time step 6100, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6100, Step size=0.0000033ms, Time elapsed=0.000020s;
Time step 6200, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6200, Step size=0.0000033ms, Time elapsed=0.000021s;
Time step 6300, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6300, Step size=0.0000033ms, Time elapsed=0.000021s;
Time step 6400, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6400, Step size=0.0000033ms, Time elapsed=0.000021s;
Time step 6500, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6500, Step size=0.0000033ms, Time elapsed=0.000022s;
Time step 6600, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6600, Step size=0.0000033ms, Time elapsed=0.000022s;
Time step 6700, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6700, Step size=0.0000033ms, Time elapsed=0.000022s;
Time step 6800, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6800, Step size=0.0000033ms, Time elapsed=0.000023s;
Time step 6900, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 6900, Step size=0.0000033ms, Time elapsed=0.000023s;
Time step 7000, Step size=0.0000009ms, Time elapsed=0.000006s;
Time step 7000, Step size=0.0000033ms, Time elapsed=0.000023s;
Time step 7100, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7100, Step size=0.0000033ms, Time elapsed=0.000024s;
Time step 7200, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7200, Step size=0.0000033ms, Time elapsed=0.000024s;
Time step 7300, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7300, Step size=0.0000033ms, Time elapsed=0.000024s;
Time step 7400, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7400, Step size=0.0000033ms, Time elapsed=0.000025s;
Time step 7500, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7500, Step size=0.0000033ms, Time elapsed=0.000025s;
Time step 7600, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7600, Step size=0.0000033ms, Time elapsed=0.000025s;
Time step 7700, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7700, Step size=0.0000033ms, Time elapsed=0.000026s;
Time step 7800, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7800, Step size=0.0000033ms, Time elapsed=0.000026s;
Time step 7900, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 7900, Step size=0.0000033ms, Time elapsed=0.000026s;
Time step 8000, Step size=0.0000009ms, Time elapsed=0.000007s;
Time step 8000, Step size=0.0000033ms, Time elapsed=0.000027s;
Time step 8100, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8100, Step size=0.0000033ms, Time elapsed=0.000027s;
Time step 8200, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8200, Step size=0.0000033ms, Time elapsed=0.000027s;
Time step 8300, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8300, Step size=0.0000033ms, Time elapsed=0.000028s;
Time step 8400, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8400, Step size=0.0000033ms, Time elapsed=0.000028s;
Time step 8500, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8500, Step size=0.0000033ms, Time elapsed=0.000028s;
Time step 8600, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8600, Step size=0.0000033ms, Time elapsed=0.000029s;
Time step 8700, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8700, Step size=0.0000033ms, Time elapsed=0.000029s;
Time step 8800, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8800, Step size=0.0000033ms, Time elapsed=0.000029s;
Time step 8900, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 8900, Step size=0.0000033ms, Time elapsed=0.000030s;
Time step 9000, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 9000, Step size=0.0000033ms, Time elapsed=0.000030s;
Time step 9100, Step size=0.0000009ms, Time elapsed=0.000008s;
Time step 9100, Step size=0.0000033ms, Time elapsed=0.000030s;
Time step 9200, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 9200, Step size=0.0000033ms, Time elapsed=0.000031s;
Time step 9300, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 9300, Step size=0.0000033ms, Time elapsed=0.000031s;
Time step 9400, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 9400, Step size=0.0000033ms, Time elapsed=0.000031s;
Time step 9500, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 9500, Step size=0.0000033ms, Time elapsed=0.000032s;
Time step 9600, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 9600, Step size=0.0000033ms, Time elapsed=0.000032s;
Time step 9700, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 9700, Step size=0.0000033ms, Time elapsed=0.000032s;
Time step 9800, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 9800, Step size=0.0000033ms, Time elapsed=0.000033s;
Time step 9900, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 9900, Step size=0.0000033ms, Time elapsed=0.000033s;
Time step 10000, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 10000, Step size=0.0000033ms, Time elapsed=0.000033s;
Time step 10100, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 10200, Step size=0.0000009ms, Time elapsed=0.000009s;
Time step 10100, Step size=0.0000033ms, Time elapsed=0.000034s;
Time step 10300, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 10200, Step size=0.0000033ms, Time elapsed=0.000034s;
Time step 10400, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 10300, Step size=0.0000033ms, Time elapsed=0.000034s;
Time step 10400, Step size=0.0000033ms, Time elapsed=0.000035s;
Time step 10500, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 10600, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 10500, Step size=0.0000033ms, Time elapsed=0.000035s;
Time step 10700, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 10600, Step size=0.0000033ms, Time elapsed=0.000035s;
Time step 10800, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 10700, Step size=0.0000033ms, Time elapsed=0.000036s;
Time step 10900, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 10800, Step size=0.0000033ms, Time elapsed=0.000036s;
Time step 11000, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 10900, Step size=0.0000033ms, Time elapsed=0.000036s;
Time step 11100, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 11000, Step size=0.0000033ms, Time elapsed=0.000037s;
Time step 11200, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 11100, Step size=0.0000033ms, Time elapsed=0.000037s;
Time step 11300, Step size=0.0000009ms, Time elapsed=0.000010s;
Time step 11200, Step size=0.0000033ms, Time elapsed=0.000037s;
Time step 11400, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 11300, Step size=0.0000033ms, Time elapsed=0.000038s;
Time step 11400, Step size=0.0000033ms, Time elapsed=0.000038s;
Time step 11500, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 11600, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 11500, Step size=0.0000033ms, Time elapsed=0.000038s;
Time step 11700, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 11600, Step size=0.0000033ms, Time elapsed=0.000039s;
Time step 11700, Step size=0.0000033ms, Time elapsed=0.000039s;
Time step 11800, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 11800, Step size=0.0000033ms, Time elapsed=0.000039s;
Time step 11900, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 11900, Step size=0.0000033ms, Time elapsed=0.000040s;
Time step 12000, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 12000, Step size=0.0000033ms, Time elapsed=0.000040s;
Time step 12100, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 12100, Step size=0.0000033ms, Time elapsed=0.000040s;
Time step 12200, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 12200, Step size=0.0000033ms, Time elapsed=0.000041s;
Time step 12300, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 12300, Step size=0.0000033ms, Time elapsed=0.000041s;
Time step 12400, Step size=0.0000009ms, Time elapsed=0.000011s;
Time step 12400, Step size=0.0000033ms, Time elapsed=0.000041s;
Time step 12500, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 12500, Step size=0.0000033ms, Time elapsed=0.000042s;
Time step 12600, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 12700, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 12600, Step size=0.0000033ms, Time elapsed=0.000042s;
Time step 12700, Step size=0.0000033ms, Time elapsed=0.000042s;
Time step 12800, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 12800, Step size=0.0000033ms, Time elapsed=0.000043s;
Time step 12900, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 13000, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 12900, Step size=0.0000033ms, Time elapsed=0.000043s;
Time step 13100, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 13000, Step size=0.0000033ms, Time elapsed=0.000043s;
Time step 13200, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 13100, Step size=0.0000033ms, Time elapsed=0.000044s;
Time step 13300, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 13200, Step size=0.0000033ms, Time elapsed=0.000044s;
Time step 13400, Step size=0.0000009ms, Time elapsed=0.000012s;
Time step 13300, Step size=0.0000033ms, Time elapsed=0.000044s;
Time step 13400, Step size=0.0000033ms, Time elapsed=0.000045s;
Time step 13500, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 13500, Step size=0.0000033ms, Time elapsed=0.000045s;
Time step 13600, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 13600, Step size=0.0000033ms, Time elapsed=0.000045s;
Time step 13700, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 13700, Step size=0.0000033ms, Time elapsed=0.000046s;
Time step 13800, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 13800, Step size=0.0000033ms, Time elapsed=0.000046s;
Time step 13900, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 13900, Step size=0.0000033ms, Time elapsed=0.000046s;
Time step 14000, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 14000, Step size=0.0000033ms, Time elapsed=0.000047s;
Time step 14100, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 14100, Step size=0.0000033ms, Time elapsed=0.000047s;
Time step 14200, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 14200, Step size=0.0000033ms, Time elapsed=0.000047s;
Time step 14300, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 14300, Step size=0.0000033ms, Time elapsed=0.000048s;
Time step 14400, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 14400, Step size=0.0000033ms, Time elapsed=0.000048s;
Time step 14500, Step size=0.0000009ms, Time elapsed=0.000013s;
Time step 14500, Step size=0.0000033ms, Time elapsed=0.000048s;
Time step 14600, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 14600, Step size=0.0000033ms, Time elapsed=0.000049s;
Time step 14700, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 14700, Step size=0.0000033ms, Time elapsed=0.000049s;
Time step 14800, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 14800, Step size=0.0000033ms, Time elapsed=0.000049s;
Time step 14900, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 14900, Step size=0.0000033ms, Time elapsed=0.000050s;
Time step 15000, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 15000, Step size=0.0000033ms, Time elapsed=0.000050s;
Time step 15100, Step size=0.0000009ms, Time elapsed=0.000014s;
Saving data to numpy array files...
Time step 15200, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 15100, Step size=0.0000033ms, Time elapsed=0.000050s;
Time step 15300, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 15200, Step size=0.0000033ms, Time elapsed=0.000051s;
Time step 15400, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 15300, Step size=0.0000033ms, Time elapsed=0.000051s;
Time step 15500, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 15400, Step size=0.0000033ms, Time elapsed=0.000051s;
Time step 15600, Step size=0.0000009ms, Time elapsed=0.000014s;
Time step 15500, Step size=0.0000033ms, Time elapsed=0.000051s;
Time step 15700, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 15600, Step size=0.0000033ms, Time elapsed=0.000052s;
Time step 15800, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 15700, Step size=0.0000033ms, Time elapsed=0.000052s;
Time step 15900, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 15800, Step size=0.0000033ms, Time elapsed=0.000052s;
Time step 16000, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 15900, Step size=0.0000033ms, Time elapsed=0.000053s;
Time step 16100, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 16000, Step size=0.0000033ms, Time elapsed=0.000053s;
Time step 16200, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 16100, Step size=0.0000033ms, Time elapsed=0.000053s;
Time step 16300, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 16200, Step size=0.0000033ms, Time elapsed=0.000054s;
Time step 16400, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 16300, Step size=0.0000033ms, Time elapsed=0.000054s;
Time step 16500, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 16400, Step size=0.0000033ms, Time elapsed=0.000054s;
Time step 16600, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 16500, Step size=0.0000033ms, Time elapsed=0.000055s;
Time step 16700, Step size=0.0000009ms, Time elapsed=0.000015s;
Time step 16600, Step size=0.0000033ms, Time elapsed=0.000055s;
Time step 16800, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 16700, Step size=0.0000033ms, Time elapsed=0.000055s;
Time step 16900, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 16800, Step size=0.0000033ms, Time elapsed=0.000056s;
Time step 17000, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 16900, Step size=0.0000033ms, Time elapsed=0.000056s;
Time step 17100, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 17000, Step size=0.0000033ms, Time elapsed=0.000056s;
Time step 17200, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 17100, Step size=0.0000033ms, Time elapsed=0.000057s;
Time step 17300, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 17200, Step size=0.0000033ms, Time elapsed=0.000057s;
Time step 17400, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 17300, Step size=0.0000033ms, Time elapsed=0.000057s;
Time step 17500, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 17400, Step size=0.0000033ms, Time elapsed=0.000058s;
Time step 17600, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 17500, Step size=0.0000033ms, Time elapsed=0.000058s;
Time step 17700, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 17600, Step size=0.0000033ms, Time elapsed=0.000058s;
Time step 17800, Step size=0.0000009ms, Time elapsed=0.000016s;
Time step 17700, Step size=0.0000033ms, Time elapsed=0.000059s;
Time step 17900, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 17800, Step size=0.0000033ms, Time elapsed=0.000059s;
Time step 18000, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 17900, Step size=0.0000033ms, Time elapsed=0.000059s;
Time step 18100, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 18000, Step size=0.0000033ms, Time elapsed=0.000060s;
Time step 18200, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 18100, Step size=0.0000033ms, Time elapsed=0.000060s;
Time step 18300, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 18200, Step size=0.0000033ms, Time elapsed=0.000060s;
Time step 18400, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 18300, Step size=0.0000033ms, Time elapsed=0.000061s;
Time step 18500, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 18400, Step size=0.0000033ms, Time elapsed=0.000061s;
Time step 18600, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 18500, Step size=0.0000033ms, Time elapsed=0.000061s;
Time step 18700, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 18600, Step size=0.0000033ms, Time elapsed=0.000062s;
Time step 18800, Step size=0.0000009ms, Time elapsed=0.000017s;
Time step 18700, Step size=0.0000033ms, Time elapsed=0.000062s;
Time step 18900, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 18800, Step size=0.0000033ms, Time elapsed=0.000062s;
Time step 19000, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 18900, Step size=0.0000033ms, Time elapsed=0.000063s;
Time step 19100, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19000, Step size=0.0000033ms, Time elapsed=0.000063s;
Time step 19200, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19100, Step size=0.0000033ms, Time elapsed=0.000063s;
Time step 19300, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19200, Step size=0.0000033ms, Time elapsed=0.000064s;
Time step 19400, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19300, Step size=0.0000033ms, Time elapsed=0.000064s;
Time step 19500, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19400, Step size=0.0000033ms, Time elapsed=0.000064s;
Time step 19600, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19500, Step size=0.0000033ms, Time elapsed=0.000065s;
Time step 19700, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19600, Step size=0.0000033ms, Time elapsed=0.000065s;
Time step 19800, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19700, Step size=0.0000033ms, Time elapsed=0.000065s;
Time step 19900, Step size=0.0000009ms, Time elapsed=0.000018s;
Time step 19800, Step size=0.0000033ms, Time elapsed=0.000066s;
Time step 20000, Step size=0.0000009ms, Time elapsed=0.000019s;
Time step 19900, Step size=0.0000033ms, Time elapsed=0.000066s;
Time step 20100, Step size=0.0000009ms, Time elapsed=0.000019s;
Time step 20000, Step size=0.0000033ms, Time elapsed=0.000066s;
Time step 20200, Step size=0.0000009ms, Time elapsed=0.000019s;
Time step 20100, Step size=0.0000033ms, Time elapsed=0.000067s;
Time step 20300, Step size=0.0000009ms, Time elapsed=0.000019s;
Time step 20200, Step size=0.0000033ms, Time elapsed=0.000067s;
Time step 20400, Step size=0.0000009ms, Time elapsed=0.000019s;
