######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
################################
Initializing geometry package...
################################
Initializing MPI and solver...
################################
Initializing domain...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
Solving:
Time step 9300, Step size=0.0000024ms, Time elapsed=0.000022s;
Time step 9400, Step size=0.0000024ms, Time elapsed=0.000022s;
Time step 9500, Step size=0.0000024ms, Time elapsed=0.000023s;
Time step 9600, Step size=0.0000024ms, Time elapsed=0.000023s;
Time step 9700, Step size=0.0000024ms, Time elapsed=0.000023s;
Time step 9800, Step size=0.0000024ms, Time elapsed=0.000023s;
Time step 9900, Step size=0.0000024ms, Time elapsed=0.000023s;
Time step 10000, Step size=0.0000024ms, Time elapsed=0.000024s;
Time step 10100, Step size=0.0000024ms, Time elapsed=0.000024s;
Time step 10200, Step size=0.0000024ms, Time elapsed=0.000024s;
Time step 10300, Step size=0.0000024ms, Time elapsed=0.000024s;
Time step 10400, Step size=0.0000024ms, Time elapsed=0.000025s;
Time step 10500, Step size=0.0000024ms, Time elapsed=0.000025s;
Time step 10600, Step size=0.0000024ms, Time elapsed=0.000025s;
Time step 10700, Step size=0.0000024ms, Time elapsed=0.000025s;
Time step 10800, Step size=0.0000024ms, Time elapsed=0.000026s;
Time step 10900, Step size=0.0000024ms, Time elapsed=0.000026s;
Time step 11000, Step size=0.0000024ms, Time elapsed=0.000026s;
Time step 11100, Step size=0.0000024ms, Time elapsed=0.000026s;
Time step 11200, Step size=0.0000024ms, Time elapsed=0.000027s;
Time step 11300, Step size=0.0000024ms, Time elapsed=0.000027s;
Time step 11400, Step size=0.0000024ms, Time elapsed=0.000027s;
Time step 11500, Step size=0.0000024ms, Time elapsed=0.000027s;
Time step 11600, Step size=0.0000024ms, Time elapsed=0.000028s;
Time step 11700, Step size=0.0000024ms, Time elapsed=0.000028s;
Time step 11800, Step size=0.0000024ms, Time elapsed=0.000028s;
Time step 11900, Step size=0.0000024ms, Time elapsed=0.000028s;
Time step 12000, Step size=0.0000024ms, Time elapsed=0.000028s;
Time step 12100, Step size=0.0000024ms, Time elapsed=0.000029s;
Time step 12200, Step size=0.0000024ms, Time elapsed=0.000029s;
Time step 12300, Step size=0.0000024ms, Time elapsed=0.000029s;
Time step 12400, Step size=0.0000024ms, Time elapsed=0.000029s;
Time step 12500, Step size=0.0000024ms, Time elapsed=0.000030s;
Time step 12600, Step size=0.0000024ms, Time elapsed=0.000030s;
Time step 12700, Step size=0.0000024ms, Time elapsed=0.000030s;
Time step 12800, Step size=0.0000024ms, Time elapsed=0.000030s;
Time step 12900, Step size=0.0000024ms, Time elapsed=0.000031s;
Time step 13000, Step size=0.0000024ms, Time elapsed=0.000031s;
Time step 13100, Step size=0.0000024ms, Time elapsed=0.000031s;
Time step 13200, Step size=0.0000024ms, Time elapsed=0.000031s;
